model,city,target,mse,r2,rmse,mae,mape,pcc
MAE,0,0,0.0887,0.0893,0.2978,0.1333,1.5135,0.3083
CLIP,0,0,0.1291,0.0617,0.3593,0.15,6.9444,0.2488
ViT,0,0,10.5719,-0.0033,3.2514,0.5127,2.0754,0.0309
ResNet,0,0,0.2228,0.0307,0.4721,0.1897,1.3063,0.2008
SimCLR,0,0,0.1272,0.0116,0.3566,0.1824,4.4272,0.2559
MAE,0,1,0.5722,0.4449,0.7564,0.5828,1.4194,0.6698
CLIP,0,1,0.6909,0.2594,0.8312,0.6034,1.1713,0.5506
ViT,0,1,0.7182,0.2913,0.8474,0.6717,3.4472,0.5565
ResNet,0,1,0.5323,0.4505,0.7296,0.5358,4.1874,0.6747
SimCLR,0,1,0.5133,0.409,0.7165,0.5724,1.68,0.6479
MAE,1,0,0.0154,0.3072,0.1242,0.0981,2.7961,0.5741
CLIP,1,0,0.2192,0.0326,0.4682,0.1883,1.2742,0.2009
ViT,1,0,0.0277,-0.2345,0.1663,0.1202,0.9324,-0.0053
ResNet,1,0,0.0227,-0.1983,0.1507,0.1236,7.0989,0.4592
SimCLR,1,0,0.0319,-0.3888,0.1786,0.1419,1.5876,0.3334
MAE,1,1,0.6794,0.496,0.8243,0.6357,1.2181,0.7077
CLIP,1,1,0.6035,0.4208,0.7769,0.6347,1.6174,0.7033
ViT,1,1,0.69,0.1593,0.8307,0.6585,4.0553,0.4971
ResNet,1,1,0.3026,0.5542,0.5501,0.4387,1.1878,0.7486
SimCLR,1,1,0.8426,0.1287,0.9179,0.8123,2.5346,0.7434
MAE,2,0,0.1756,0.8288,0.419,0.3127,1.0177,0.9112
CLIP,2,0,0.4704,0.5637,0.6858,0.4912,2.4505,0.7709
ViT,2,0,0.2311,0.6805,0.4808,0.3743,1.6382,0.8251
ResNet,2,0,3.6948,0.0659,1.9222,0.6057,3.4975,0.3268
SimCLR,2,0,0.0971,0.8422,0.3117,0.1949,1.1783,0.9211
MAE,2,1,1.4457,0.0972,1.2024,0.9063,1.2026,0.4037
CLIP,2,1,0.6753,0.3697,0.8217,0.628,2.3322,0.6498
ViT,2,1,0.9582,0.264,0.9789,0.7343,1.2531,0.5358
ResNet,2,1,0.6439,0.2951,0.8024,0.5967,6.9561,0.5462
SimCLR,2,1,0.5936,0.1348,0.7704,0.5897,2.3933,0.4126
MAE,3,0,0.1487,0.8583,0.3857,0.3034,3.7392,0.9271
CLIP,3,0,0.2907,0.6927,0.5391,0.4263,2.1923,0.8359
ViT,3,0,0.3143,0.6273,0.5606,0.4261,1.3512,0.7997
ResNet,3,0,0.3723,0.4354,0.6102,0.4268,2.1117,0.6757
SimCLR,3,0,0.1635,0.7078,0.4043,0.3056,2.1304,0.8453
MAE,3,1,0.5633,0.3508,0.7506,0.5451,1.4856,0.6393
CLIP,3,1,0.4536,0.4621,0.6735,0.4992,1.0732,0.6884
ViT,3,1,0.6077,0.3797,0.7796,0.6064,1.8991,0.6321
ResNet,3,1,0.8476,0.3835,0.9207,0.6712,4.8426,0.6345
SimCLR,3,1,0.4846,0.5318,0.6961,0.4983,2.8182,0.7297
